timestamp,policy,endpoint,param,payload_bytes,inflight_sync,inflight_async,work_sync,work_async,worker,latency_ms,error
1789895165.683076,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.792,
1789895165.755425,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.58,
1789895165.8283596,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.521,
1789895165.900344,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.966,
1789895165.9742537,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.383,
1789895166.0444505,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.351,
1789895166.1184747,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.852,
1789895166.1903503,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.644,
1789895166.2628832,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.039,
1789895166.3354466,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.043,
1789895166.4097958,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.201,
1789895166.4827597,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.188,
1789895166.5543115,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.267,
1789895166.6275423,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.481,
1789895166.6996388,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.936,
1789895166.772715,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.84,
1789895166.843716,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.947,
1789895166.915623,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.87,
1789895166.9867253,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.609,
1789895167.0588021,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.737,
1789895167.132869,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.163,
1789895167.2046006,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.354,
1789895167.2775588,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.111,
1789895167.3486388,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.436,
1789895167.4211843,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.657,
1789895167.4924607,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.938,
1789895167.565525,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.032,
1789895167.6380882,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.36,
1789895167.7144446,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,11.217,
1789895167.7861567,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.638,
1789895167.8602374,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.97,
1789895167.9350207,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.295,
1789895168.0041184,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,6.104,
1789895168.075915,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.428,
1789895168.1486177,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.649,
1789895168.2230816,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.858,
1789895168.2953048,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.704,
1789895168.3701146,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.035,
1789895168.4413369,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.223,
1789895168.5155458,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.261,
1789895168.58428,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,6.517,
1789895168.6583097,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.489,
1789895168.7302628,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.799,
1789895168.8051543,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.732,
1789895168.872952,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,5.76,
1789895168.946403,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.478,
1789895169.0213437,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.783,
1789895169.0934312,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.059,
1789895169.1670961,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.376,
1789895169.2389529,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.185,
1789895169.3105628,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.454,
1789895169.384127,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.733,
1789895169.4593244,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.2,
1789895169.5309553,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.993,
1789895169.6024544,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.379,
1789895169.677255,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,11.176,
1789895169.7493541,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.885,
1789895169.8230531,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.544,
1789895169.8944292,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.192,
1789895169.966929,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.063,
1789895170.0384116,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.045,
1789895170.106272,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,5.295,
1789895170.1757026,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.564,
1789895170.2497044,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.43,
1789895170.319638,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.064,
1789895170.387331,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,5.921,
1789895170.4601245,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.227,
1789895170.5280333,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,5.491,
1789895170.5964983,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,6.987,
1789895170.6689768,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.31,
1789895170.7410793,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.543,
1789895170.815392,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.849,
1789895170.8826873,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,4.873,
1789895170.953476,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.718,
1789895171.0240753,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.256,
1789895171.0978498,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.108,
1789895171.1709607,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.663,
1789895171.2454615,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.891,
1789895171.3157616,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.248,
1789895171.3889086,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.854,
1789895171.4604006,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.961,
1789895171.5347614,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.546,
1789895171.611459,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,5.321,
1789895171.6853647,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.955,
1789895171.7567737,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.444,
1789895171.8314219,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.684,
1789895171.9035225,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.22,
1789895171.9782283,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.689,
1789895172.0499027,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.547,
1789895172.1242583,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.896,
1789895172.1961133,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.711,
1789895172.2711399,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.879,
1789895172.3424892,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,6.794,
1789895172.4159229,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.913,
1789895172.4880655,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.1,
1789895172.5589557,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.652,
1789895172.6314611,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.261,
1789895172.7052174,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.819,
1789895172.7772481,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.567,
1789895172.850252,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.395,
1789895172.9193351,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,5.843,
1789895172.9922738,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.255,
1789895173.0648534,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.918,
1789895173.1400962,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.589,
1789895173.2120178,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.638,
1789895173.28589,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.368,
1789895173.3583834,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.954,
1789895173.4301538,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.81,
1789895173.5027215,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.649,
1789895173.5778043,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.333,
1789895173.6489222,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.326,
1789895173.7223704,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.925,
1789895173.793909,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.176,
1789895173.8674796,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.79,
1789895173.9384484,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.552,
1789895174.0105402,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.295,
1789895174.0823317,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.428,
1789895174.1562665,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.867,
1789895174.228298,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.625,
1789895174.3025846,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.664,
1789895174.372878,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.002,
1789895174.4459078,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.8,
1789895174.5186343,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.226,
1789895174.5912304,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.555,
1789895174.664299,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.199,
1789895174.7401912,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.867,
1789895174.8128095,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.111,
1789895174.884171,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.255,
1789895174.9559052,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.284,
1789895175.02537,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.181,
1789895175.0979617,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.865,
1789895175.1681714,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,6.804,
1789895175.2421672,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.12,
1789895175.3131356,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.715,
1789895175.3866415,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.262,
1789895175.457477,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.563,
1789895175.5316668,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.701,
1789895175.6009285,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,6.711,
1789895175.6736355,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.062,
1789895175.7452204,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.011,
1789895175.8199394,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.643,
1789895175.8915899,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.339,
1789895175.9656916,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.431,
1789895176.037292,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.599,
1789895176.109941,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.778,
1789895176.18081,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.183,
1789895176.2544024,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.023,
1789895176.32694,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.369,
1789895176.400018,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.822,
1789895176.4706228,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.827,
1789895176.5437624,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.213,
1789895176.615312,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.921,
1789895176.6872475,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.102,
1789895176.7573717,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,6.302,
1789895176.8308175,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.67,
1789895176.9030392,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.299,
1789895176.9775493,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.747,
